title,description,price
"Brecknockshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Brecknockshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Brecknockshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Buckinghamshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Buckinghamshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Buckinghamshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Buckinghamshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Buckinghamshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Buckinghamshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Buckinghamshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Buckinghamshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Buckinghamshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Cambridgeshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Cambridgeshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Cambridgeshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Cambridgeshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Cambridgeshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Cambridgeshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
"Cambridgeshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Cambridgeshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Cambridgeshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Cardiganshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Cardiganshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Cardiganshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Cardiganshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Cardiganshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Cardiganshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
"Cardiganshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Cardiganshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Cardiganshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Carmarthenshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carmarthenshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Carmarthenshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carmarthenshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carmarthenshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carmarthenshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
"Carmarthenshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Carmarthenshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Carmarthenshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Carnarvonshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carnarvonshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Carnarvonshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carnarvonshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carnarvonshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Carnarvonshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
"Carnarvonshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Carnarvonshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Carnarvonshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Channel Islands 1841 Census,The Channel Islands combining Jersey and Guernsey. This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Channel Islands 1851 Census,The Channel Islands combining Jersey and Guernsey. This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Channel Islands 1861 Census,The Channel Islands combining Jersey and Guernsey. This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Channel Islands 1871 Census,The Channel Islands combining Jersey and Guernsey. This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Channel Islands 1891 Census,The Channel Islands combining Jersey and Guernsey. This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Channel Islands 1901 Census,The Channel Islands combining Jersey and Guernsey. This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Channel Islands Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Channel Islands Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Channel Islands Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
"Channel Islands, The 1851 Census of Jersey - An All Island Index","An alphabetically ordered, all-island index to the census of Jersey. It gives the following details: surname, forename, age, place of birth, parish, district, folio and page. Also includes an introduction, details of districts and their enumerators, and statistics.

*Digitally enhanced images of the original text
*Searchable text
*Bookmarked by major headings
*Fully printable
*Contains over 370 pages",£15.00
"Channel Islands, The 1871 Census of Jersey - An All Island Index","An alphabetically ordered, all-island index to the census of Jersey. It gives the following details: surname, forename, age, place of birth, parish, district, folio and page. Also includes an introduction, details of districts and their enumerators, and statistics.

*Digitally enhanced images of the original text
*Searchable text
*Bookmarked by major headings
*Fully printable
*Contains over 410 pages",£15.00
"Channel Islands, The 1891 Census of Jersey - An All Island Index","An alphabetically ordered, all-island index to the census of Jersey. It gives the following details: surname, forename, age, place of birth, parish, district, folio and page. Also includes an introduction, details of districts and their enumerators, and statistics.

*Digitally enhanced images of the original text
*Searchable text
*Bookmarked by major headings
*Fully printable
*Contains over 400 pages",£15.00
"Channel Islands, The 1901 Census of Jersey - An All Island Index","An alphabetically ordered, all-island index to the census of Jersey. It gives the following details: surname, forename, age, place of birth, parish, district, folio and page. Also includes an introduction, details of districts and their enumerators, and statistics.

*Digitally enhanced images of the original text
*Searchable text
*Bookmarked by major headings
*Fully printable
*Contains over 450 pages",£15.00
Cheshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cheshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cheshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cheshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cheshire 1891 Census,The Cheshire Census supplied as images of the original enumerators books indexed by area and street where street indexes are available.,£29.95
Cheshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Cheshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Cheshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Cheshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£149.75
Cornwall 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cornwall 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cornwall 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cornwall 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cornwall 1891 Census,This is the original Census information digitised from microfiche and supplied as PDF documents with Street and Area Indexes.,£29.95
Cornwall 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Cornwall Census Bundle - 1841, 1851, 1861 and 1871","The Cornwall Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Cornwall Census Bundle - 1841, 1851, 1861, 1871 and 1891","The Cornwall Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Cornwall Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","The Cornwall Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£149.75
Cumberland 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cumberland 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cumberland 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Cumberland 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£29.95
Cumberland 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£29.95
Cumberland 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£29.95
"Cumberland Census Bundle - 1841, 1851, 1861 and 1871","The Cumberland Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Cumberland Census Bundle - 1841, 1851, 1861, 1871 and 1891","The Cumberland Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Cumberland Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","The Cumberland Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£149.75
Denbighshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Denbighshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Denbighshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Denbighshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Denbighshire 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Denbighshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
"Denbighshire Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Denbighshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Denbighshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Derbyshire 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Derbyshire 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Derbyshire 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Derbyshire 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Derbyshire 1891 Census,This is the original Census information digitised from microfiche and supplied as PDF documents with Street and Area Indexes.,£29.95
Derbyshire 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Derbyshire Census Bundle - 1841, 1851, 1861 and 1871","The Derbyshire Census bundle contains the sets for the 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Derbyshire Census Bundle - 1841, 1851, 1861, 1871 and 1891","The Derbyshire Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Derbyshire Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","The Derbyshire Census bundle contains sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£149.75
Devon 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Devon 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Devon 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Devon 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Devon 1891 Census,This is the original Census information digitised from microfiche and supplied as PDF documents with Street and Area Indexes.,£29.95
Devon 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
"Devon Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£89.85
"Devon Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£119.80
"Devon Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£149.75
Dorset 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Dorset 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£19.95
Dorset 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Dorset 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Dorset 1891 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
Dorset 1901 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on CD as PDF documents with Street and Area Indexes.,£19.95
"Dorset Census Bundle - 1841, 1851, 1861 and 1871","This Census bundle contains the sets for the years 1841,1851,1861 and 1871. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£59.85
"Dorset Census Bundle - 1841, 1851, 1861, 1871 and 1891","This Census bundle contains the sets for the years 1841,1851,1861,1871 and 1891. Each set consists of a pack of PDF documents which contain census page images indexed by street and area.",£79.80
"Dorset Census Bundle - 1841, 1851, 1861, 1871, 1891 and 1901","This Census bundle contains the sets for the years 1841,1851,1861,1871,1891 and 1901. Each set consists of a pack of which contain census page images indexed by street and area.",£99.75
Durham 1841 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Durham 1851 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Durham 1861 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
Durham 1871 Census,This is the original Census information digitised from high quality microfilm and scanned several times to provide the best possible images. Supplied on DVD as PDF documents with Street and Area Indexes.,£29.95
